номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
,,НАЧАЛЬНАЯ ШКОЛА,,,,,,,,Начальная школа,,,,
,,Русский язык (начальная школа),,,,,,,,Начальная школа,,,,
1,6028-НШ00022,"Набор таблиц ""Словарные слова""","Набор состоит из 64 таблиц формата А3. Двухсторонние
 Таблицы можно использовать как для самопроверки, так и для словарных диктантов. На одной стороне таблицы даны словарные слова с пропусками в трудных местах, на другой стороне таблицы даны словарные слова, где трудные места выделены цветом для запоминания. Паспорт в комплекте.",компл,64,3989,4986.25,5040,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
2,156-НШ00025,Опорные таблицы по русскому языку 3 класс,"Комплект из 22 таблиц:
 1. Разбор предложения. 2. Однородные члены предложения. 3. Падежи. 4. Тип склонения имен существительных. 5. 1-ое склонение. 6. 2-ое склонение. 7. 3-е склонение. 8. Падежи и падежные окончания имен существительных. 9. Окончания имен существительных. 10. Склонение имен прилагательных во множественном числе. 11. Склонение имени существительного, 1 и 2 часть. 12. Местоимение. 13. Спряжение глаголов. 14. Изменение глаголов по лицам и числам. 15. Спряжение глаголов настоящего времени. 16. Правописание “ь” после шипящих. 17. Морфологический разбор имен существительных. 18. Пример морфологического разбора имен существительных. 19. Морфологический разбор имени прилагательных. 20. Пример морфологического разбора имен прилагательных. 21. Морфологический разбор глаголов. 22. Пример морфологического разбора глаголов. Паспорт в комплекте. Формат А3",компл,22,696,870,1142.4,А3,Начальная школа,Бумага,Таблицы,Да,2.1.7.
3,4792-НШ00027,"Таблица ""Азбука в картинках"" ",Таблица 400*500 мм. Напечатана на бумаге. Печать полноцветная.,шт,1,200,320.04,134.4,400х500,Начальная школа,Бумага,Таблицы,Да,2.1.7.
4,6404-НШ00030,"Таблицы демонстрационные ""Обучение грамоте 1 класс""","Комплект из 16 таблиц. Размер 680*980.
Комплектность: 
Предложение. Слово. Слог. Ударный слог. Звуки гласные и согласные. Гласные буквы А, Я. Согласные буквы М, Н, Л, Р. Гласные буквы И, Ы. Гласные буквы О, Ё. Согласные буквы Г, К. Гласные буквы У, Ю. Согласные буквы З, С. Гласные буквы Э, Е. Согласные буквы Д, Т. Согласные буквы Б, П. Согласные буквы В, Ф. Согласные буквы Ж, Ш. Согласные буквы Щ, Ч, Х, Ц, Й. Буквы Ь, Ъ. Паспорт в комплекте",компл,16,2688,3360,6003.2,680х980,Начальная школа,Бумага,Таблицы,Да,2.1.7.
5,777-НШ00006,Раздаточные карточки с буквами русского алфавита,"Пособие представляет собой набор карточек. В комплекте представлены прописные и строчные печатные буквы. Также в комплект входят магниты (по одному на каждую карточку), которые следует приклеить самостоятельно.
Состав комплекта: карточки с буквами и знаками на белом фоне – 144 шт. Весь комплект уложен в заранее промаркированные коробки",шт,,606,757.5,1363.5,,Начальная школа,Бумага,,,2.1.9.
6,10521-НШ00041,"Комплект карточек (10) ""Универсальная платформа. Разбор слова и предложения""","Комплект карточек предназначен для использования на уроках русского языка в начальной школе.  Используется вместе с наглядно-дидактическим пособием ""Универсальная платформа"". Комплектность: карточки с заданиями – 10 шт., паспорт.  
Пособие состоит из 10 полноцветных, напечатанных на картоне и ламинированных пленкой карточек. Карточки снабжены маркировкой, где буква обозначает предмет, первая цифра – код темы, вторая цифра – порядковый номер (тему) карточки в серии, последняя цифра – вариант (I или II).",компл,10,290,362.5,739.2,,Начальная школа,Бумага,,Да,2.1.9.
7,7280-НШ00019,"Модель-аппликация ""Набор звуковых схем""","Пособие предназначено для использования на уроках обучения грамоте в начальной школе.
Комплектность: квадратные карточки – 18 шт., прямоугольные карточки – 12 шт.,паспорт.  Квадратные карточки обозначают отдельную букву, а прямоугольные – слог. Для обозначения звуков использовано традиционное цветовое кодирование (гласный звук обозначается красным цветом, твердый согласный – синим, мягкий согласный – зеленым).
Карточки ламинированы пленкой и укомплектованы магнитами, что позволяет легко крепить их на магнитной доске или экране для динамических пособий.  ",шт,,340,425,1411.2,,Начальная школа,Бумага,,Да,2.1.11.
8,14781-НШ00020,"Модель-аппликация ""Неопределенная форма глагола. Три времени глагола"" (лам.)","Пособие предназначено для использования в качестве демонстрационного материала на уроках русского языка в начальной школе при изучении тем «Глагол», «Изменение глагола по временам».
Комплектность: таблица – 1 шт., карточки – 4 шт., паспорт.
Пособие состоит из полноцветной таблицы формата А3, ламинированной матовой пленкой, и 4 карточек формата А4. На таблице изображен глагол в виде путешествующего будильника. Карточки содержат информацию о временах глагола: названия времен (настоящее время, прошедшее время, будущее время, неопределенная форма глагола), вопросы и опорные схемы. Таблица и карточки укомплектованы магнитами, что позволяет легко крепить их на магнитной доске или экране для динамических пособий. ",шт,,310,387.5,1657.6,,Начальная школа,Бумага,,Да,2.1.11.
